niveau1,vondstnummer
Food Processing & Consumption,NZD1.00071CER047
Food Processing & Consumption,NZD1.00071CER054
Distribution & Transport,NZD1.00071CER084
Food Processing & Consumption,NZD1.00071CER089
Food Processing & Consumption,NZD1.00071CER094
Food Processing & Consumption,NZD1.00071CER098
Food Processing & Consumption,NZD1.00071CER103
Food Processing & Consumption,NZD1.00071CER104
Food Processing & Consumption,NZD1.00071CER106
Food Processing & Consumption,NZD1.00071CER109
Food Processing & Consumption,NZD1.00071CER113
Food Processing & Consumption,NZD1.00071CER115
Food Processing & Consumption,NZD1.00071GLS002
Food Processing & Consumption,NZD1.00071GLS003
Food Processing & Consumption,NZD1.00071GLS004
Food Processing & Consumption,NZD1.00071GLS013
Craft & Industry,NZD1.00071HT003
Personal Artefacts & Clothing,NZD1.00071LEE007
Personal Artefacts & Clothing,NZD1.00071LEE012
Personal Artefacts & Clothing,NZD1.00071LEE013
Distribution & Transport,NZD1.00071MTL003-gw
Distribution & Transport,NZD1.00071MTL004
Distribution & Transport,NZD1.00071MTL008
Distribution & Transport,NZD1.00071MTL011
Buildings & Structures,NZD1.00071STN003
Personal Artefacts & Clothing,NZD1.00071STN007
Craft & Industry,NZD1.00071TXT001
Food Processing & Consumption,NZD1.00072CER017
Food Processing & Consumption,NZD1.00072CER059
Food Processing & Consumption,NZD1.00072CER078
Food Processing & Consumption,NZD1.00072CER082
Food Processing & Consumption,NZD1.00072CER087
Food Processing & Consumption,NZD1.00072CER098
Food Processing & Consumption,NZD1.00072CER099
Food Processing & Consumption,NZD1.00072CER108
Food Processing & Consumption,NZD1.00072CER110
Food Processing & Consumption,NZD1.00072CER113
Food Processing & Consumption,NZD1.00072CER116
Food Processing & Consumption,NZD1.00072CER118
Food Processing & Consumption,NZD1.00072CER120
Food Processing & Consumption,NZD1.00072CER216
Food Processing & Consumption,NZD1.00072CER219
Food Processing & Consumption,NZD1.00072CER221
Food Processing & Consumption,NZD1.00072CER232
Distribution & Transport,NZD1.00072CER238
Food Processing & Consumption,NZD1.00072CER245
Personal Artefacts & Clothing,NZD1.00072CER253
Food Processing & Consumption,NZD1.00072CER269
Food Processing & Consumption,NZD1.00072CER282
Food Processing & Consumption,NZD1.00072CER283
Food Processing & Consumption,NZD1.00072CER288
Food Processing & Consumption,NZD1.00072CER304
Food Processing & Consumption,NZD1.00072CER314
Food Processing & Consumption,NZD1.00072CER318
Food Processing & Consumption,NZD1.00072CER319
Food Processing & Consumption,NZD1.00072CER320
Food Processing & Consumption,NZD1.00072CER321
Food Processing & Consumption,NZD1.00072CER325
Food Processing & Consumption,NZD1.00072CER326
Food Processing & Consumption,NZD1.00072CER327
Food Processing & Consumption,NZD1.00072CER329
Food Processing & Consumption,NZD1.00072CER338
Food Processing & Consumption,NZD1.00072CER339
Food Processing & Consumption,NZD1.00072CER341
Food Processing & Consumption,NZD1.00072CER343
Food Processing & Consumption,NZD1.00072CER345
Food Processing & Consumption,NZD1.00072CER351
Food Processing & Consumption,NZD1.00072CER352
Craft & Industry,NZD1.00072FAU023
Craft & Industry,NZD1.00072FAU055
Craft & Industry,NZD1.00072FAU056
Food Processing & Consumption,NZD1.00072GLS002
Interiors & Accessories,NZD1.00072GLS010
Food Processing & Consumption,NZD1.00072HT005
Personal Artefacts & Clothing,NZD1.00072HT008
Personal Artefacts & Clothing,NZD1.00072HT010
Personal Artefacts & Clothing,NZD1.00072HT012
Food Processing & Consumption,NZD1.00072HT013
Craft & Industry,NZD1.00072HT022
Personal Artefacts & Clothing,NZD1.00072HT025
Food Processing & Consumption,NZD1.00072HT026
Food Processing & Consumption,NZD1.00072HT027
Craft & Industry,NZD1.00072HT028
Personal Artefacts & Clothing,NZD1.00072LEE011
Personal Artefacts & Clothing,NZD1.00072LEE013
Personal Artefacts & Clothing,NZD1.00072LEE016
Personal Artefacts & Clothing,NZD1.00072LEE028
Food Processing & Consumption,NZD1.00072MTL005
Food Processing & Consumption,NZD1.00072MTL007
Communication & Exchange,NZD1.00072MTL014
Distribution & Transport,NZD1.00072MTL015-gw
Distribution & Transport,NZD1.00072MTL018
Food Processing & Consumption,NZD1.00072MTL022
Distribution & Transport,NZD1.00072MTL050
Distribution & Transport,NZD1.00072MTL052
Distribution & Transport,NZD1.00072MTL077
Distribution & Transport,NZD1.00072MTL078
Distribution & Transport,NZD1.00072MTL079
Distribution & Transport,NZD1.00072MTL084
Distribution & Transport,NZD1.00072MTL085
Distribution & Transport,NZD1.00072MTL090
Distribution & Transport,NZD1.00072MTL093
Distribution & Transport,NZD1.00072MTL094
Craft & Industry,NZD1.00072STN009
Interiors & Accessories,NZD1.00072TW001
Craft & Industry,NZD1.00072TXT001
Craft & Industry,NZD1.00072TXT003
Craft & Industry,NZD1.00072TXT004
Craft & Industry,NZD1.00072TXT005
Food Processing & Consumption,NZD1.00073CER002
Food Processing & Consumption,NZD1.00073CER004
Food Processing & Consumption,NZD1.00074CER002
Food Processing & Consumption,NZD1.00074CER009
Distribution & Transport,NZD1.00074MTL002
Distribution & Transport,NZD1.00074MTL004
Distribution & Transport,NZD1.00074MTL005
Food Processing & Consumption,NZD1.00075CER001
Food Processing & Consumption,NZD1.00075CER002
Food Processing & Consumption,NZD1.00075CER020
Food Processing & Consumption,NZD1.00075CER039
Food Processing & Consumption,NZD1.00075CER040
Food Processing & Consumption,NZD1.00075CER042
Food Processing & Consumption,NZD1.00075CER043
Food Processing & Consumption,NZD1.00075CER071
Food Processing & Consumption,NZD1.00075CER079
Food Processing & Consumption,NZD1.00075CER083
Food Processing & Consumption,NZD1.00075CER085
Food Processing & Consumption,NZD1.00075CER097
Food Processing & Consumption,NZD1.00075CER098
Food Processing & Consumption,NZD1.00075CER099
Food Processing & Consumption,NZD1.00075CER103
Food Processing & Consumption,NZD1.00075CER104
Food Processing & Consumption,NZD1.00075CER111
Food Processing & Consumption,NZD1.00075CER112
Food Processing & Consumption,NZD1.00075CER113
Food Processing & Consumption,NZD1.00075CER116
Food Processing & Consumption,NZD1.00075CER140
Food Processing & Consumption,NZD1.00075CER141
Food Processing & Consumption,NZD1.00075CER186
Food Processing & Consumption,NZD1.00075CER210
Food Processing & Consumption,NZD1.00075CER215
Food Processing & Consumption,NZD1.00075CER217
Food Processing & Consumption,NZD1.00075CER221
Food Processing & Consumption,NZD1.00075CER222
Food Processing & Consumption,NZD1.00075CER224
Food Processing & Consumption,NZD1.00075CER225
Food Processing & Consumption,NZD1.00075CER226
Food Processing & Consumption,NZD1.00075CER230
Food Processing & Consumption,NZD1.00075CER234
Food Processing & Consumption,NZD1.00075CER241
Food Processing & Consumption,NZD1.00075CER243
Food Processing & Consumption,NZD1.00075CER245
Food Processing & Consumption,NZD1.00075CER247
Food Processing & Consumption,NZD1.00075CER248
Food Processing & Consumption,NZD1.00075CER253
Distribution & Transport,NZD1.00075CER254
Craft & Industry,NZD1.00075FAU077
Personal Artefacts & Clothing,NZD1.00075HK001
Personal Artefacts & Clothing,NZD1.00075HT010
Interiors & Accessories,NZD1.00075HT018
Interiors & Accessories,NZD1.00075HT022
Food Processing & Consumption,NZD1.00075HT024
Interiors & Accessories,NZD1.00075HT027
Food Processing & Consumption,NZD1.00075HT028
Personal Artefacts & Clothing,NZD1.00075HT030
Craft & Industry,NZD1.00075HT036
Craft & Industry,NZD1.00075HT038
Personal Artefacts & Clothing,NZD1.00075LEE001
Personal Artefacts & Clothing,NZD1.00075LEE012
Food Processing & Consumption,NZD1.00075MTL005
Distribution & Transport,NZD1.00075MTL012
Distribution & Transport,NZD1.00075MTL024
Distribution & Transport,NZD1.00075MTL035
Personal Artefacts & Clothing,NZD1.00075MTL037
Distribution & Transport,NZD1.00075MTL046
Buildings & Structures,NZD1.00075STN003
Buildings & Structures,NZD1.00075STN004
Buildings & Structures,NZD1.00075STN005
Buildings & Structures,NZD1.00075STN006
Interiors & Accessories,NZD1.00075STN007
Buildings & Structures,NZD1.00075STN008
Craft & Industry,NZD1.00075STN009
Interiors & Accessories,NZD1.00075TW001
Craft & Industry,NZD1.00075TXT001
Craft & Industry,NZD1.00075TXT006
Food Processing & Consumption,NZD1.00077CER001
Food Processing & Consumption,NZD1.00077CER047
Craft & Industry,NZD1.00077CER049
Food Processing & Consumption,NZD1.00077CER051
Food Processing & Consumption,NZD1.00077CER092
Food Processing & Consumption,NZD1.00077CER096
Food Processing & Consumption,NZD1.00077CER098
Food Processing & Consumption,NZD1.00077CER102
Food Processing & Consumption,NZD1.00077CER118
Food Processing & Consumption,NZD1.00077CER121
Food Processing & Consumption,NZD1.00077CER131
Food Processing & Consumption,NZD1.00077CER135
Food Processing & Consumption,NZD1.00077CER145
Food Processing & Consumption,NZD1.00077CER150
Food Processing & Consumption,NZD1.00077CER154
Food Processing & Consumption,NZD1.00077CER156
Personal Artefacts & Clothing,NZD1.00077CER157
Food Processing & Consumption,NZD1.00077CER163
Food Processing & Consumption,NZD1.00077CER176
Food Processing & Consumption,NZD1.00077CER177
Food Processing & Consumption,NZD1.00077CER180
Food Processing & Consumption,NZD1.00077CER184
Food Processing & Consumption,NZD1.00077CER256
Food Processing & Consumption,NZD1.00077CER269
Food Processing & Consumption,NZD1.00077CER275
Food Processing & Consumption,NZD1.00077CER277
Food Processing & Consumption,NZD1.00077CER281
Food Processing & Consumption,NZD1.00077CER282
Food Processing & Consumption,NZD1.00077CER284
Food Processing & Consumption,NZD1.00077CER286
Food Processing & Consumption,NZD1.00077CER288
Food Processing & Consumption,NZD1.00077CER289
Food Processing & Consumption,NZD1.00077CER294
Food Processing & Consumption,NZD1.00077CER298
Food Processing & Consumption,NZD1.00077CER299
Food Processing & Consumption,NZD1.00077CER301
Food Processing & Consumption,NZD1.00077CER308
Food Processing & Consumption,NZD1.00077CER309
Food Processing & Consumption,NZD1.00077CER311
Craft & Industry,NZD1.00077CER312
Food Processing & Consumption,NZD1.00077CER316
Food Processing & Consumption,NZD1.00077CER322
Food Processing & Consumption,NZD1.00077CER324
Food Processing & Consumption,NZD1.00077CER326
Food Processing & Consumption,NZD1.00077CER328
Food Processing & Consumption,NZD1.00077CER331
Food Processing & Consumption,NZD1.00077FAU004-02
Craft & Industry,NZD1.00077FAU023
Craft & Industry,NZD1.00077FAU024
Food Processing & Consumption,NZD1.00077GLS006
Food Processing & Consumption,NZD1.00077GLS009
Food Processing & Consumption,NZD1.00077GLS018
Food Processing & Consumption,NZD1.00077GLS019
Food Processing & Consumption,NZD1.00077HT007
Food Processing & Consumption,NZD1.00077HT009
Interiors & Accessories,NZD1.00077HT012
Food Processing & Consumption,NZD1.00077HT022
Personal Artefacts & Clothing,NZD1.00077KST002
Personal Artefacts & Clothing,NZD1.00077LEE010
Personal Artefacts & Clothing,NZD1.00077LEE016
Personal Artefacts & Clothing,NZD1.00077LEE021
Personal Artefacts & Clothing,NZD1.00077LEE022
Personal Artefacts & Clothing,NZD1.00077LEE027
Distribution & Transport,NZD1.00077MTL002
Distribution & Transport,NZD1.00077MTL008-gw
Personal Artefacts & Clothing,NZD1.00077MTL012
Communication & Exchange,NZD1.00077MTL039
Distribution & Transport,NZD1.00077MTL041
Distribution & Transport,NZD1.00077MTL044
Distribution & Transport,NZD1.00077MTL048
Distribution & Transport,NZD1.00077MTL049
Distribution & Transport,NZD1.00077MTL050
Distribution & Transport,NZD1.00077MTL057
Distribution & Transport,NZD1.00077MTL058
Food Processing & Consumption,NZD1.00077MTL068
Distribution & Transport,NZD1.00077MTL072
Craft & Industry,NZD1.00077STN005
Interiors & Accessories,NZD1.00077TW001
Craft & Industry,NZD1.00077TXT001
Craft & Industry,NZD1.00077TXT003
Craft & Industry,NZD1.00077TXT010
Food Processing & Consumption,NZD1.00078CER001
Food Processing & Consumption,NZD1.00078CER037
Food Processing & Consumption,NZD1.00078CER071
Food Processing & Consumption,NZD1.00078CER078
Food Processing & Consumption,NZD1.00078CER081
Food Processing & Consumption,NZD1.00078CER098
Food Processing & Consumption,NZD1.00078CER100
Food Processing & Consumption,NZD1.00078CER105
Food Processing & Consumption,NZD1.00078CER108
Food Processing & Consumption,NZD1.00078CER113
Food Processing & Consumption,NZD1.00078CER114
Food Processing & Consumption,NZD1.00078CER119
Food Processing & Consumption,NZD1.00078CER122
Food Processing & Consumption,NZD1.00078CER124
Food Processing & Consumption,NZD1.00078CER128
Food Processing & Consumption,NZD1.00078CER131
Food Processing & Consumption,NZD1.00078CER132
Food Processing & Consumption,NZD1.00078CER153
Food Processing & Consumption,NZD1.00078CER213
Distribution & Transport,NZD1.00078CER215
Food Processing & Consumption,NZD1.00078CER216
Food Processing & Consumption,NZD1.00078CER217
Food Processing & Consumption,NZD1.00078CER221
Food Processing & Consumption,NZD1.00078CER229
Food Processing & Consumption,NZD1.00078CER241
Food Processing & Consumption,NZD1.00078CER243
Food Processing & Consumption,NZD1.00078CER258
Food Processing & Consumption,NZD1.00078CER259
Food Processing & Consumption,NZD1.00078CER262
Food Processing & Consumption,NZD1.00078CER264
Food Processing & Consumption,NZD1.00078CER268
Food Processing & Consumption,NZD1.00078CER269
Food Processing & Consumption,NZD1.00078CER272
Food Processing & Consumption,NZD1.00078CER274
Food Processing & Consumption,NZD1.00078CER279
Food Processing & Consumption,NZD1.00078CER280
Food Processing & Consumption,NZD1.00078CER281
Food Processing & Consumption,NZD1.00078CER285
Food Processing & Consumption,NZD1.00078CER288
Food Processing & Consumption,NZD1.00078CER290
Food Processing & Consumption,NZD1.00078CER292
Food Processing & Consumption,NZD1.00078CER299
Food Processing & Consumption,NZD1.00078CER300
Food Processing & Consumption,NZD1.00078CER301
Craft & Industry,NZD1.00078FAU070
Interiors & Accessories,NZD1.00078GLS013
Food Processing & Consumption,NZD1.00078GLS021
Interiors & Accessories,NZD1.00078HT011
Personal Artefacts & Clothing,NZD1.00078HT013
Interiors & Accessories,NZD1.00078HT015
Interiors & Accessories,NZD1.00078HT016
Games & Recreation,NZD1.00078HT017
Craft & Industry,NZD1.00078HT020
Food Processing & Consumption,NZD1.00078HT022
Interiors & Accessories,NZD1.00078HT023
Personal Artefacts & Clothing,NZD1.00078LEE009
Personal Artefacts & Clothing,NZD1.00078LEE018
Personal Artefacts & Clothing,NZD1.00078LEE020
Personal Artefacts & Clothing,NZD1.00078LEE041
Personal Artefacts & Clothing,NZD1.00078LEE052
Personal Artefacts & Clothing,NZD1.00078LEE061
Personal Artefacts & Clothing,NZD1.00078LEE063
Distribution & Transport,NZD1.00078MTL009-gw
Distribution & Transport,NZD1.00078MTL014
Communication & Exchange,NZD1.00078MTL021
Personal Artefacts & Clothing,NZD1.00078MTL033
Personal Artefacts & Clothing,NZD1.00078MTL035
Distribution & Transport,NZD1.00078MTL038
Food Processing & Consumption,NZD1.00078STN001
Buildings & Structures,NZD1.00078STN002
Buildings & Structures,NZD1.00078STN003
Buildings & Structures,NZD1.00078STN005
Buildings & Structures,NZD1.00078STN006
Interiors & Accessories,NZD1.00078TW001
Interiors & Accessories,NZD1.00078TW002
Interiors & Accessories,NZD1.00078TW003
Interiors & Accessories,NZD1.00078TW004
Personal Artefacts & Clothing,NZD1.00078TXT001
Craft & Industry,NZD1.00078TXT002
Craft & Industry,NZD1.00078TXT006
Craft & Industry,NZD1.00078TXT009
Craft & Industry,NZD1.00078TXT017
Craft & Industry,NZD1.00078TXT022
Craft & Industry,NZD1.00078TXT023
Craft & Industry,NZD1.00078TXT024
Craft & Industry,NZD1.00078TXT026
Food Processing & Consumption,NZD1.00079CER001
Food Processing & Consumption,NZD1.00079CER039
Food Processing & Consumption,NZD1.00079CER043
Food Processing & Consumption,NZD1.00079CER076
Food Processing & Consumption,NZD1.00079CER079
Food Processing & Consumption,NZD1.00079CER084
Food Processing & Consumption,NZD1.00079CER085
Food Processing & Consumption,NZD1.00079CER090
Food Processing & Consumption,NZD1.00079CER099
Food Processing & Consumption,NZD1.00079CER101
Food Processing & Consumption,NZD1.00079CER102
Food Processing & Consumption,NZD1.00079CER103
Food Processing & Consumption,NZD1.00079CER108
Food Processing & Consumption,NZD1.00079CER111
Food Processing & Consumption,NZD1.00079CER116
Food Processing & Consumption,NZD1.00079CER119
Food Processing & Consumption,NZD1.00079CER127
Food Processing & Consumption,NZD1.00079CER130
Food Processing & Consumption,NZD1.00079CER131
Food Processing & Consumption,NZD1.00079CER134
Food Processing & Consumption,NZD1.00079CER136
Food Processing & Consumption,NZD1.00079CER138
Food Processing & Consumption,NZD1.00079CER141
Food Processing & Consumption,NZD1.00079CER143
Food Processing & Consumption,NZD1.00079CER145
Food Processing & Consumption,NZD1.00079CER147
Food Processing & Consumption,NZD1.00079CER148
Food Processing & Consumption,NZD1.00079CER152
Food Processing & Consumption,NZD1.00079CER171
Food Processing & Consumption,NZD1.00079CER178
Food Processing & Consumption,NZD1.00079CER225
Food Processing & Consumption,NZD1.00079CER233
Food Processing & Consumption,NZD1.00079CER236
Food Processing & Consumption,NZD1.00079CER260
Food Processing & Consumption,NZD1.00079CER271
Food Processing & Consumption,NZD1.00079CER272
Food Processing & Consumption,NZD1.00079CER279
Food Processing & Consumption,NZD1.00079CER280
Food Processing & Consumption,NZD1.00079CER284
Food Processing & Consumption,NZD1.00079CER285
Food Processing & Consumption,NZD1.00079CER287
Food Processing & Consumption,NZD1.00079CER290
Food Processing & Consumption,NZD1.00079CER292
Food Processing & Consumption,NZD1.00079CER294
Food Processing & Consumption,NZD1.00079CER296
Food Processing & Consumption,NZD1.00079CER298
Food Processing & Consumption,NZD1.00079CER303
Food Processing & Consumption,NZD1.00079CER304
Food Processing & Consumption,NZD1.00079CER305
Food Processing & Consumption,NZD1.00079CER311
Food Processing & Consumption,NZD1.00079CER313
Food Processing & Consumption,NZD1.00079CER318
Food Processing & Consumption,NZD1.00079CER319
Food Processing & Consumption,NZD1.00079GLS011
Interiors & Accessories,NZD1.00079GLS014
Food Processing & Consumption,NZD1.00079GLS027
Personal Artefacts & Clothing,NZD1.00079HT007
Craft & Industry,NZD1.00079HT008
Interiors & Accessories,NZD1.00079HT010
Interiors & Accessories,NZD1.00079HT012
Personal Artefacts & Clothing,NZD1.00079LEE009
Personal Artefacts & Clothing,NZD1.00079LEE018
Personal Artefacts & Clothing,NZD1.00079LEE023
Distribution & Transport,NZD1.00079MTL005-gw
Personal Artefacts & Clothing,NZD1.00079MTL013
Food Processing & Consumption,NZD1.00079MTL017
Distribution & Transport,NZD1.00079MTL018
Distribution & Transport,NZD1.00079MTL041
Distribution & Transport,NZD1.00079MTL053
Distribution & Transport,NZD1.00079MTL060
Distribution & Transport,NZD1.00079MTL061
Buildings & Structures,NZD1.00079STN004
Interiors & Accessories,NZD1.00079STN005
Interiors & Accessories,NZD1.00079TW001
Craft & Industry,NZD1.00079TXT001
Craft & Industry,NZD1.00079TXT002
Personal Artefacts & Clothing,NZD1.00079TXT003
Craft & Industry,NZD1.00079TXT004
Craft & Industry,NZD1.00079TXT008
Craft & Industry,NZD1.00079TXT010
Craft & Industry,NZD1.00079TXT011
Food Processing & Consumption,NZD1.00080CER001
Food Processing & Consumption,NZD1.00080CER002
Food Processing & Consumption,NZD1.00081CER001
Food Processing & Consumption,NZD1.00081CER002
Food Processing & Consumption,NZD1.00081CER006
Food Processing & Consumption,NZD1.00081CER012
Food Processing & Consumption,NZD1.00081CER070
Food Processing & Consumption,NZD1.00081CER071
Food Processing & Consumption,NZD1.00081CER079
Food Processing & Consumption,NZD1.00081CER082
Food Processing & Consumption,NZD1.00081CER083
Personal Artefacts & Clothing,NZD1.00081CER085
Food Processing & Consumption,NZD1.00081CER107
Food Processing & Consumption,NZD1.00081CER109
Food Processing & Consumption,NZD1.00081CER154
Food Processing & Consumption,NZD1.00081CER155
Distribution & Transport,NZD1.00081CER166
Food Processing & Consumption,NZD1.00081CER175
Food Processing & Consumption,NZD1.00081CER180
Food Processing & Consumption,NZD1.00081CER183
Food Processing & Consumption,NZD1.00081CER188
Food Processing & Consumption,NZD1.00081CER190
Food Processing & Consumption,NZD1.00081CER199
Food Processing & Consumption,NZD1.00081CER201
Food Processing & Consumption,NZD1.00081CER208
Food Processing & Consumption,NZD1.00081CER210
Food Processing & Consumption,NZD1.00081CER212
Food Processing & Consumption,NZD1.00081CER214
Food Processing & Consumption,NZD1.00081CER216
Food Processing & Consumption,NZD1.00081CER222
Food Processing & Consumption,NZD1.00081CER223
Food Processing & Consumption,NZD1.00081CER231
Food Processing & Consumption,NZD1.00081CER233
Food Processing & Consumption,NZD1.00081CER234
Food Processing & Consumption,NZD1.00081CER235
Craft & Industry,NZD1.00081FAU002
Craft & Industry,NZD1.00081FAU030
Craft & Industry,NZD1.00081FAU048
Food Processing & Consumption,NZD1.00081GLS005
Food Processing & Consumption,NZD1.00081HT001
Food Processing & Consumption,NZD1.00081HT010
Food Processing & Consumption,NZD1.00081HT013
Interiors & Accessories,NZD1.00081HT014
Craft & Industry,NZD1.00081HT017
Craft & Industry,NZD1.00081HT018
Interiors & Accessories,NZD1.00081HT019
Personal Artefacts & Clothing,NZD1.00081LEE014
Personal Artefacts & Clothing,NZD1.00081LEE024
Personal Artefacts & Clothing,NZD1.00081LEE025
Distribution & Transport,NZD1.00081MTL005-gw
Personal Artefacts & Clothing,NZD1.00081MTL009
Distribution & Transport,NZD1.00081MTL013
Distribution & Transport,NZD1.00081MTL038
Distribution & Transport,NZD1.00081MTL044
Distribution & Transport,NZD1.00081MTL055
Distribution & Transport,NZD1.00081MTL056
Distribution & Transport,NZD1.00081MTL057
Distribution & Transport,NZD1.00081MTL059
Interiors & Accessories,NZD1.00081TW001
Craft & Industry,NZD1.00081TXT003
Craft & Industry,NZD1.00081TXT006
Craft & Industry,NZD1.00081TXT007
Craft & Industry,NZD1.00081TXT008
Food Processing & Consumption,NZD1.00082CER001
Food Processing & Consumption,NZD1.00082CER014
Food Processing & Consumption,NZD1.00082CER015
Food Processing & Consumption,NZD1.00082CER019
Food Processing & Consumption,NZD1.00082CER020
Food Processing & Consumption,NZD1.00082CER021
Food Processing & Consumption,NZD1.00082CER029
Food Processing & Consumption,NZD1.00082CER032
Food Processing & Consumption,NZD1.00082CER034
Food Processing & Consumption,NZD1.00082CER036
Food Processing & Consumption,NZD1.00082CER037
Food Processing & Consumption,NZD1.00082CER038
Personal Artefacts & Clothing,NZD1.00082LEE003
Personal Artefacts & Clothing,NZD1.00082LEE005
Personal Artefacts & Clothing,NZD1.00082LEE006
Communication & Exchange,NZD1.00082MTL003
Food Processing & Consumption,NZD1.00083CER001
Food Processing & Consumption,NZD1.00083CER002
Food Processing & Consumption,NZD1.00084CER002
Food Processing & Consumption,NZD1.00084MTL001
Distribution & Transport,NZD1.00084MTL002
Food Processing & Consumption,NZD1.00085CER001
Food Processing & Consumption,NZD1.00085CER004
Food Processing & Consumption,NZD1.00085CER010
Personal Artefacts & Clothing,NZD1.00085LEE005
Craft & Industry,NZD1.00085TXT001
Food Processing & Consumption,NZD1.00087CER001
Food Processing & Consumption,NZD1.00087CER002
Food Processing & Consumption,NZD1.00087CER109
Food Processing & Consumption,NZD1.00087CER111
Food Processing & Consumption,NZD1.00087CER113
Food Processing & Consumption,NZD1.00087CER114
Food Processing & Consumption,NZD1.00087CER122
Food Processing & Consumption,NZD1.00087CER130
Food Processing & Consumption,NZD1.00087CER133
Food Processing & Consumption,NZD1.00087CER134
Food Processing & Consumption,NZD1.00087CER136
Food Processing & Consumption,NZD1.00087CER137
Food Processing & Consumption,NZD1.00087CER139
Food Processing & Consumption,NZD1.00087CER144
Food Processing & Consumption,NZD1.00087CER153
Food Processing & Consumption,NZD1.00087CER156
Food Processing & Consumption,NZD1.00087CER159
Food Processing & Consumption,NZD1.00087CER167
Food Processing & Consumption,NZD1.00087CER172
Food Processing & Consumption,NZD1.00087CER176
Food Processing & Consumption,NZD1.00087CER179
Food Processing & Consumption,NZD1.00087CER182
Food Processing & Consumption,NZD1.00087CER184
Food Processing & Consumption,NZD1.00087CER185
Food Processing & Consumption,NZD1.00087CER217
Food Processing & Consumption,NZD1.00087CER218
Food Processing & Consumption,NZD1.00087CER224
Food Processing & Consumption,NZD1.00087CER296
Food Processing & Consumption,NZD1.00087CER308
Distribution & Transport,NZD1.00087CER323
Food Processing & Consumption,NZD1.00087CER336
Food Processing & Consumption,NZD1.00087CER351
Food Processing & Consumption,NZD1.00087CER364
Food Processing & Consumption,NZD1.00087CER373
Food Processing & Consumption,NZD1.00087CER375
Food Processing & Consumption,NZD1.00087CER379
Food Processing & Consumption,NZD1.00087CER386
Food Processing & Consumption,NZD1.00087CER393
Food Processing & Consumption,NZD1.00087CER408
Food Processing & Consumption,NZD1.00087CER409
Food Processing & Consumption,NZD1.00087CER415
Food Processing & Consumption,NZD1.00087CER417
Food Processing & Consumption,NZD1.00087CER419
Food Processing & Consumption,NZD1.00087CER420
Food Processing & Consumption,NZD1.00087CER421
Food Processing & Consumption,NZD1.00087CER427
Food Processing & Consumption,NZD1.00087CER429
Food Processing & Consumption,NZD1.00087CER430
Food Processing & Consumption,NZD1.00087CER432
Food Processing & Consumption,NZD1.00087CER439
Food Processing & Consumption,NZD1.00087CER440
Food Processing & Consumption,NZD1.00087CER448
Food Processing & Consumption,NZD1.00087CER451
Food Processing & Consumption,NZD1.00087CER453
Food Processing & Consumption,NZD1.00087CER459
Craft & Industry,NZD1.00087FAU068
Craft & Industry,NZD1.00087FAU092
Food Processing & Consumption,NZD1.00087GLS025
Food Processing & Consumption,NZD1.00087GLS038
Food Processing & Consumption,NZD1.00087HT007
Craft & Industry,NZD1.00087HT010
Personal Artefacts & Clothing,NZD1.00087HT012
Personal Artefacts & Clothing,NZD1.00087HT019
Personal Artefacts & Clothing,NZD1.00087HT023
Food Processing & Consumption,NZD1.00087HT026
Interiors & Accessories,NZD1.00087HT027
Personal Artefacts & Clothing,NZD1.00087HT028
Interiors & Accessories,NZD1.00087HT031
Craft & Industry,NZD1.00087HT032
Personal Artefacts & Clothing,NZD1.00087HT033
Personal Artefacts & Clothing,NZD1.00087HT036
Personal Artefacts & Clothing,NZD1.00087HT038
Interiors & Accessories,NZD1.00087HT052
Interiors & Accessories,NZD1.00087HT053
Craft & Industry,NZD1.00087HT055
Personal Artefacts & Clothing,NZD1.00087HT059
Personal Artefacts & Clothing,NZD1.00087LEE008
Personal Artefacts & Clothing,NZD1.00087LEE023
Personal Artefacts & Clothing,NZD1.00087LEE039
Personal Artefacts & Clothing,NZD1.00087LEE042
Personal Artefacts & Clothing,NZD1.00087LEE045
Personal Artefacts & Clothing,NZD1.00087LEE048
Distribution & Transport,NZD1.00087MTL002
Food Processing & Consumption,NZD1.00087MTL015
Personal Artefacts & Clothing,NZD1.00087MTL020
Distribution & Transport,NZD1.00087MTL025-gw
Food Processing & Consumption,NZD1.00087MTL027
Distribution & Transport,NZD1.00087MTL054
Personal Artefacts & Clothing,NZD1.00087MTL056
Personal Artefacts & Clothing,NZD1.00087MTL066
Personal Artefacts & Clothing,NZD1.00087MTL067
Personal Artefacts & Clothing,NZD1.00087MTL091
Buildings & Structures,NZD1.00087STN002
Buildings & Structures,NZD1.00087STN004
Buildings & Structures,NZD1.00087STN005
Personal Artefacts & Clothing,NZD1.00087STN007
Buildings & Structures,NZD1.00087STN008
Interiors & Accessories,NZD1.00087STN009
Craft & Industry,NZD1.00087STN011
Interiors & Accessories,NZD1.00087TW001
Interiors & Accessories,NZD1.00087TW002
Interiors & Accessories,NZD1.00087TW003
Interiors & Accessories,NZD1.00087TW004
Interiors & Accessories,NZD1.00087TW005
Craft & Industry,NZD1.00087TXT009
Craft & Industry,NZD1.00087TXT013
Craft & Industry,NZD1.00087TXT014
Craft & Industry,NZD1.00087TXT016
Craft & Industry,NZD1.00087TXT017
Craft & Industry,NZD1.00087TXT018
Craft & Industry,NZD1.00087TXT020
Craft & Industry,NZD1.00087TXT021
