niveau1,vondstnummer
Interiors & Accessories,NZD1.00022TW001
Food Processing & Consumption,NZD1.00023CER001
Food Processing & Consumption,NZD1.00023CER003
Food Processing & Consumption,NZD1.00023CER011
Food Processing & Consumption,NZD1.00023CER018
Food Processing & Consumption,NZD1.00023CER040
Food Processing & Consumption,NZD1.00023CER043
Food Processing & Consumption,NZD1.00023CER044
Food Processing & Consumption,NZD1.00023CER056
Food Processing & Consumption,NZD1.00023CER060
Food Processing & Consumption,NZD1.00023CER069
Food Processing & Consumption,NZD1.00023CER071
Food Processing & Consumption,NZD1.00023CER073
Food Processing & Consumption,NZD1.00023CER079
Food Processing & Consumption,NZD1.00023CER081
Food Processing & Consumption,NZD1.00023CER083
Food Processing & Consumption,NZD1.00023CER106
Food Processing & Consumption,NZD1.00023CER107
Food Processing & Consumption,NZD1.00023CER108
Food Processing & Consumption,NZD1.00023CER110
Food Processing & Consumption,NZD1.00023CER111
Food Processing & Consumption,NZD1.00023CER112
Food Processing & Consumption,NZD1.00023CER114
Food Processing & Consumption,NZD1.00023HT001
Personal Artefacts & Clothing,NZD1.00023HT002
Personal Artefacts & Clothing,NZD1.00023LEE004
Personal Artefacts & Clothing,NZD1.00023LEE005
Distribution & Transport,NZD1.00023MTL002
Distribution & Transport,NZD1.00023MTL004
Distribution & Transport,NZD1.00023MTL007
Distribution & Transport,NZD1.00023MTL008
Games & Recreation,NZD1.00023STN002
Food Processing & Consumption,NZD1.00024CER002
Food Processing & Consumption,NZD1.00025CER001
Food Processing & Consumption,NZD1.00025CER006
Food Processing & Consumption,NZD1.00025CER015
Food Processing & Consumption,NZD1.00025CER021
Food Processing & Consumption,NZD1.00025CER024
Food Processing & Consumption,NZD1.00025MTL001
Food Processing & Consumption,NZD1.00026CER001
Food Processing & Consumption,NZD1.00026CER009
Food Processing & Consumption,NZD1.00026CER012
Food Processing & Consumption,NZD1.00026CER020
Food Processing & Consumption,NZD1.00026CER023
Food Processing & Consumption,NZD1.00026CER024
Food Processing & Consumption,NZD1.00026CER028
Food Processing & Consumption,NZD1.00026CER030
Food Processing & Consumption,NZD1.00026CER033
Food Processing & Consumption,NZD1.00026CER035
